datetime_utc,portfolio_id,symbol,action,qty,price_exec,slippage_bps,liquidity_impact_bps,fees,gross_amount,post_trade_cash,post_trade_position,signal_snapshot,rationale,run_id
2025-11-07T01:05:12.849626+00:00,portfolio_max_autotrader,ASTS,SELL,2.0,65.209725,10.0,0.0,0.0,130.42,3051.07,6.49,"{""TS"":-0.57545,""NS"":0.010958,""CDS"":-0.340887,""wT"":0.6,""wN"":0.4}",score<sell,19154823423
2025-11-07T01:05:12.849792+00:00,portfolio_max_autotrader,QBTS,SELL,43.0,28.36161,10.0,0.0,0.0,1219.55,4270.62,129.08,"{""TS"":-0.528902,""NS"":0.083022,""CDS"":-0.284132,""wT"":0.6,""wN"":0.4}",score<sell,19154823423
2025-11-07T01:05:12.849939+00:00,portfolio_max_autotrader,QUBT,SELL,14.0,13.12686,10.0,0.0,0.0,183.78,4454.39,43.39,"{""TS"":-0.592264,""NS"":0.100926,""CDS"":-0.314988,""wT"":0.6,""wN"":0.4}",score<sell,19154823423
2025-11-07T01:05:12.850076+00:00,portfolio_max_autotrader,RGTI,SELL,2.0,34.310655,10.0,0.0,0.0,68.62,4523.02,7.17,"{""TS"":-0.527454,""NS"":0.107153,""CDS"":-0.273611,""wT"":0.6,""wN"":0.4}",score<sell,19154823423
2025-11-07T01:05:12.850207+00:00,portfolio_max_autotrader,RKLB,SELL,1.0,49.555395,10.0,0.0,0.0,49.56,4572.57,5.27,"{""TS"":-0.648029,""NS"":0.052011,""CDS"":-0.368013,""wT"":0.6,""wN"":0.4}",score<sell,19154823423
2025-11-07T01:05:12.850381+00:00,portfolio_max_autotrader,VTI,SELL,2.0,329.01066,10.0,0.0,0.0,658.02,5230.59,7.48,"{""TS"":-0.520567,""NS"":-0.104224,""CDS"":-0.35403,""wT"":0.6,""wN"":0.4}",score<sell,19154823423
2025-11-07T01:05:12.850523+00:00,portfolio_max_autotrader,FSLR,BUY,2.1072,272.38211,10.0,0.0,0.0,-573.96,4656.63,5.1072,"{""TS"":0.590301,""NS"":0.29577,""CDS"":0.472489,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.850659+00:00,portfolio_max_autotrader,AAPL,BUY,2.1249,270.11985,10.0,0.0,0.0,-573.98,4082.65,2.4955,"{""TS"":0.578813,""NS"":0.306517,""CDS"":0.469894,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.850794+00:00,portfolio_max_autotrader,GOOGL,BUY,2.0134,285.07479,10.0,0.0,0.0,-573.97,3508.68,2.0134,"{""TS"":0.633719,""NS"":0.204776,""CDS"":0.462142,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.850916+00:00,portfolio_max_autotrader,AMZN,BUY,2.3601,243.20296,10.0,0.0,0.0,-573.98,2934.7,2.4614,"{""TS"":0.513501,""NS"":0.259286,""CDS"":0.411815,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
